Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
6834,1,2.13,9.06,27.78,0.1078,1.7445,3.4502,1.83,0.4833,0.0391,0.0191,0.0181,4.6131,ND,0.0069,0.0053,0.0036,0.0013,0.0016,0.0177,0.0205,0.0028,0.0177,0.0030,ND,ND,ND,0,ND,ND,0,0,ND,0,ND,48.64
6835,1,1.99,6.14,34.72,ND,0.9209,2.1402,0.85,0.4005,0.0287,0.0130,0.0198,2.7113,ND,0.0026,0.0033,0.0089,0.0011,0.0008,0.0099,0.0232,0.0013,0.0225,0.0022,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,49.99
6835,1,1.90,6.03,35.24,0.0878,1.0137,2.1141,0.82,0.3679,0.0367,0.0085,0.0173,2.5030,ND,0.0027,0.0027,0.0056,0.0007,0.0008,0.0098,0.0271,0.0012,0.0229,0.0024,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,49.78
6836,1,2.07,5.97,35.92,ND,1.1256,2.0897,0.57,0.3993,0.0341,0.0133,0.0150,2.4351,ND,0.0028,0.0025,0.0036,0.0009,0.0008,0.0100,0.0288,0.0012,0.0239,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,49.28
6836,1,1.79,5.50,35.77,ND,1.0598,1.8156,0.88,0.3497,0.0356,0.0094,0.0142,2.1550,ND,0.0022,0.0029,0.0030,0.0006,0.0006,0.0088,0.0263,0.0010,0.0204,0.0019,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,50.55
6837,1,2.02,6.24,33.84,ND,1.0188,2.1608,0.70,0.3737,0.0389,0.0156,0.0136,2.5537,ND,0.0029,0.0120,0.0042,0.0009,0.0012,0.0103,0.0251,0.0010,0.0214,0.0019,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,50.94
6837,1,2.00,7.04,31.53,0.1126,1.4488,2.5444,0.77,0.4542,0.0482,0.0342,0.0173,3.3284,ND,0.0080,0.0046,0.0127,0.0016,0.0023,0.0122,0.0163,0.0013,0.0230,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0020,ND,ND,ND,50.59
6838,1,1.92,6.86,34.10,ND,1.0921,2.3957,0.61,0.4045,0.0453,0.0206,0.0199,3.1639,ND,0.0049,0.0044,0.0090,0.0011,0.0018,0.0112,0.0162,0.0013,0.0241,0.0022,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,49.29
6838,1,1.97,6.85,32.65,ND,1.4174,2.4793,1.05,0.3974,0.0380,0.0179,0.0201,3.1559,ND,0.0057,0.0041,0.0075,0.0013,0.0015,0.0112,0.0222,0.0011,0.0216,0.0021,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,49.88
6839,1,4.87,3.26,12.38,0.0713,0.3992,0.7495,21.44,0.1643,0.0207,0.0057,0.1916,6.4610,ND,ND,0.0031,0.0017,0.0005,0.0004,0.0038,0.0637,0.0026,0.0066,0.0008,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,49.90
6839,1,4.11,2.71,19.18,ND,0.3043,0.6082,16.34,0.1976,0.0218,ND,0.1444,5.4058,ND,ND,ND,0.0012,ND,0.0002,0.0034,0.0289,0.0022,0.0129,0.0007,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.93
6840,1,1.57,5.59,34.81,ND,0.7644,1.8431,1.38,0.3905,0.0245,0.0079,0.0168,2.2365,ND,0.0012,0.0030,0.0020,0.0007,0.0004,0.0085,0.0237,0.0012,0.0225,0.0022,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,51.29
6840,1,1.96,5.80,34.22,ND,0.8152,1.9668,1.75,0.3450,0.0296,0.0061,0.0189,2.1561,ND,0.0016,0.0026,0.0019,0.0006,0.0002,0.0085,0.0309,0.0011,0.0202,0.0017,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.85
6841,1,3.57,3.63,21.29,ND,0.5364,0.9131,12.62,0.2379,0.0204,0.0051,0.1173,5.2219,ND,ND,0.0013,0.0016,0.0006,0.0003,0.0052,0.0285,0.0017,0.0133,0.0010,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,51.78
6841,1,2.82,4.63,28.65,ND,0.7471,1.2933,7.46,0.2916,0.0331,ND,0.0702,3.6941,ND,ND,0.0018,0.0014,0.0006,0.0003,0.0061,0.0368,0.0017,0.0196,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,50.23
6842,1,1.63,5.48,35.03,ND,1.0418,1.8006,1.72,0.3484,0.0247,0.0066,0.0185,2.2300,ND,0.0015,0.0020,0.0018,0.0005,0.0004,0.0081,0.0372,0.0013,0.0205,0.0016,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,50.60
6842,1,2.33,5.66,34.36,ND,1.1752,1.8325,1.31,0.3397,0.0297,0.0111,0.0172,2.2966,ND,0.0015,0.0024,0.0023,0.0005,0.0004,0.0083,0.0380,0.0016,0.0212,0.0018,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.55
6843,1,2.12,6.09,32.79,ND,1.2380,2.0187,1.29,0.3847,0.0358,0.0130,0.0202,2.6543,ND,0.0028,0.0031,0.0022,0.0008,0.0005,0.0102,0.0384,0.0015,0.0233,0.0020,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,51.26
6843,1,2.25,6.45,33.15,ND,1.1665,2.1627,1.20,0.3966,0.0252,0.0107,0.0186,2.7524,ND,0.0036,0.0023,0.0022,0.0008,0.0006,0.0102,0.0360,0.0016,0.0230,0.0021,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.33
6844,1,1.96,6.20,34.20,ND,0.8185,2.0660,1.25,0.3785,0.0270,0.0099,0.0221,2.5212,ND,0.0022,0.0024,0.0025,0.0006,0.0005,0.0091,0.0262,0.0014,0.0220,0.0019,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.48
6844,1,2.12,6.11,34.99,ND,0.9745,2.0454,1.08,0.3871,0.0293,0.0108,0.0178,2.4846,ND,0.0026,0.0026,0.0020,0.0007,0.0005,0.0092,0.0333,0.0013,0.0236,0.0020,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,49.68
6845,1,1.94,5.55,35.44,ND,1.0256,1.8044,1.21,0.3514,0.0267,0.0093,0.0186,2.2748,ND,0.0017,0.0020,0.0023,0.0007,0.0004,0.0078,0.0340,0.0012,0.0223,0.0018,ND,ND,ND,ND,ND,0.0010,ND,0,ND,ND,ND,50.28
6845,1,1.85,6.52,32.62,0.0645,1.5864,2.2894,1.43,0.4206,0.0287,0.0129,0.0209,3.4279,ND,0.0048,0.0034,0.0024,0.0016,0.0009,0.0106,0.0239,0.0018,0.0223,0.0021,ND,ND,ND,ND,ND,ND,0,0,ND,0,ND,49.65
6846,1,1.94,7.53,32.95,ND,1.0103,2.7973,0.51,0.4497,0.0352,0.0145,0.0187,3.2033,ND,0.0046,0.0031,0.0040,0.0011,0.0010,0.0128,0.0157,0.0015,0.0254,0.0025,ND,ND,ND,ND,ND,0,0,0,ND,ND,ND,49.47
6846,1,2.30,7.48,29.75,0.2862,1.2706,2.6163,2.72,0.4258,0.0480,0.0197,0.0212,3.4649,ND,0.0063,0.0039,0.0057,0.0011,0.0017,0.0123,0.0243,0.0027,0.0208,0.0023,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,0,49.52
6847,1,2.30,7.89,31.59,ND,1.1557,2.9346,0.75,0.4181,0.0416,0.0238,0.0182,3.6620,ND,0.0076,0.0049,0.0101,0.0016,0.0020,0.0135,0.0182,0.0011,0.0182,0.0025,0,ND,ND,ND,ND,0,0,0,ND,0,ND,49.13
